County,Count,Population,Percentage,Lower CI,Upper CI
State Total,4486,36045,15.63,15.1,16.17
Adams,24,362,8.47,4.99,14.02
Asotin,52,530,13.07,8.55,19.49
Benton,102,844,14.48,11.74,17.72
Chelan,69,483,16.89,12.97,21.68
Clallam,40,485,10.61,6.91,15.96
Clark,193,1781,13.57,11.6,15.82
Columbia,31,343,8.91,3.65,20.15
Cowlitz,109,987,13.53,10.71,16.94
Douglas,48,299,20.76,15.05,27.94
Ferry,20,141,9.27,4.27,18.94
Franklin,30,346,9.81,6.56,14.41
Garfield,34,269,20.43,11.7,33.21
Grant,60,673,10.99,8.19,14.59
Grays Harbor,50,445,17.58,12.14,24.77
Island,60,515,17.55,12.84,23.52
Jefferson,35,404,18.56,11.73,28.11
King,1182,7782,16.78,15.78,17.83
Kitsap,118,1055,15.55,12.64,18.99
Kittitas,59,449,18.86,13.42,25.86
Klickitat,46,385,25.63,17.91,35.26
Lewis,34,512,8.06,5.33,12.01
Lincoln,40,403,7.86,4.52,13.31
Mason,51,385,13.42,9.37,18.85
Okanogan,41,410,14.08,9.71,19.99
Pacific,32,326,15.48,8.08,27.62
Pend Oreille,35,252,14.87,8.39,24.98
Pierce,434,3182,16.38,14.82,18.08
San Juan,37,315,23.17,14.43,35.03
Skagit,69,626,13.16,9.98,17.16
Skamania,33,306,20.58,11.51,34.04
Snohomish,406,3211,14.67,13.2,16.28
Spokane,252,2060,15.54,13.53,17.79
Stevens,74,713,12.85,8.21,19.56
Thurston,145,1206,15.51,13.01,18.39
Wahkiakum,25,316,21.09,16.05,27.22
Walla Walla,38,442,12.16,8.35,17.38
Whatcom,151,962,18.4,15.52,21.68
Whitman,119,763,18.11,14.3,22.67
Yakima,108,1077,12.13,9.82,14.89